year,team_name,fielding,runs_allowed_game,defensive_efficiency
2004,Cleveland Indians,51,5.29,0.684
2004,Colorado Rockies,47,5.7,0.677
2004,Detroit Tigers,39,5.21,0.681
2004,Florida Marlins,45,4.32,0.699
2004,Houston Astros,42,4.31,0.685
2004,Kansas City Royals,58,5.59,0.674
2004,Los Angeles Dodgers,43,4.22,0.711
2004,Milwaukee Brewers,40,4.7,0.693
2004,Minnesota Twins,42,4.41,0.684
2004,Montreal Expos,46,4.75,0.694
2004,New York Mets,52,4.51,0.696
2004,New York Yankees,43,4.99,0.685
2004,Oakland Athletics,36,4.58,0.698
2004,Philadelphia Phillies,39,4.82,0.702
2004,Pittsburgh Pirates,43,4.62,0.684
2004,San Diego Padres,46,4.35,0.693
2004,Seattle Mariners,48,5.08,0.699
2004,San Francisco Giants,42,4.75,0.694
2004,St. Louis Cardinals,37,4.07,0.71
2004,Tampa Bay Devil Rays,47,5.23,0.699
2004,Texas Rangers,52,4.9,0.686
2004,Toronto Blue Jays,47,5.11,0.691
2004,League Average,41,4.81,0.691
2003,Los Angeles Angels,43,4.59,0.702
2003,Arizona Diamondbacks,43,4.23,0.69
2003,Atlanta Braves,34,4.57,0.699
2003,Baltimore Orioles,42,5.03,0.684
2003,Boston Red Sox,47,4.99,0.683
2003,Chicago Cubs,42,4.22,0.692
2003,Chicago White Sox,40,4.41,0.705
2003,Cincinnati Reds,57,5.47,0.685
2003,Cleveland Indians,54,4.8,0.698
2003,Colorado Rockies,49,5.51,0.678
2003,Detroit Tigers,42,5.73,0.685
2003,Florida Marlins,40,4.27,0.691
2003,Houston Astros,43,4.18,0.705
2003,Kansas City Royals,53,5.35,0.69
2003,Los Angeles Dodgers,42,3.43,0.702
2003,Milwaukee Brewers,42,5.39,0.683
2003,Minnesota Twins,42,4.68,0.698
2003,Montreal Expos,43,4.42,0.694
2003,New York Mets,50,4.68,0.688
2003,New York Yankees,49,4.39,0.681
2003,Oakland Athletics,41,3.97,0.711
2003,Philadelphia Phillies,37,4.3,0.701
2003,Pittsburgh Pirates,45,4.94,0.691
2003,San Diego Padres,51,5.13,0.695
2003,Seattle Mariners,36,3.93,0.721
2003,San Francisco Giants,46,3.96,0.71
2003,St. Louis Cardinals,42,4.91,0.7
2003,Tampa Bay Devil Rays,50,5.26,0.708
2003,Texas Rangers,52,5.98,0.674
2003,Toronto Blue Jays,40,5.1,0.681
2003,League Average,41,4.73,0.694
2002,Los Angeles Angels,40,3.98,0.718
2002,Arizona Diamondbacks,41,4.16,0.697
2002,Atlanta Braves,38,3.51,0.712
2002,Baltimore Orioles,46,4.77,0.701
2002,Boston Red Sox,39,4.1,0.702
2002,Chicago Cubs,44,4.69,0.685
2002,Chicago White Sox,35,4.93,0.706
2002,Cincinnati Reds,43,4.78,0.69
2002,Cleveland Indians,59,5.17,0.674
2002,Colorado Rockies,43,5.54,0.691
2002,Detroit Tigers,56,5.37,0.678
2002,Florida Marlins,41,4.71,0.689
2002,Houston Astros,41,4.29,0.687
2002,Kansas City Royals,52,5.5,0.685
2002,Los Angeles Dodgers,41,3.97,0.716
2002,Milwaukee Brewers,49,5.07,0.696
2002,Minnesota Twins,42,4.42,0.703
2002,Montreal Expos,43,4.43,0.684
2002,New York Mets,47,4.37,0.692
2002,New York Yankees,37,4.33,0.688
2002,Oakland Athletics,41,4.04,0.704
2002,Philadelphia Phillies,39,4.5,0.705
2002,Pittsburgh Pirates,37,4.53,0.693
2002,San Diego Padres,59,5.03,0.675
2002,Seattle Mariners,38,4.31,0.703
2002,San Francisco Giants,38,3.8,0.705
2002,St. Louis Cardinals,44,4,0.707
2002,Tampa Bay Devil Rays,43,5.7,0.687
2002,Texas Rangers,51,5.44,0.688
2002,Toronto Blue Jays,45,5.11,0.69
2002,League Average,40,4.62,0.695
2001,Los Angeles Angels,37,4.51,0.7
2001,Arizona Diamondbacks,45,4.18,0.703
2001,Atlanta Braves,47,3.97,0.702
2001,Baltimore Orioles,46,5.12,0.694
2001,Boston Red Sox,48,4.63,0.684
2001,Chicago Cubs,43,4.33,0.688
2001,Chicago White Sox,41,4.91,0.698
2001,Cincinnati Reds,49,5.25,0.684
2001,Cleveland Indians,43,5.07,0.67
2001,Colorado Rockies,52,5.59,0.691
2001,Detroit Tigers,42,5.41,0.675
2001,Florida Marlins,42,4.59,0.692
2001,Houston Astros,43,4.75,0.692
2001,Kansas City Royals,44,5.3,0.69
2001,Los Angeles Dodgers,41,4.59,0.696
2001,Milwaukee Brewers,46,4.98,0.696
2001,Minnesota Twins,42,4.73,0.698
2001,Montreal Expos,46,5.01,0.682
2001,New York Mets,43,4.4,0.694
2001,New York Yankees,45,4.43,0.683
2001,Oakland Athletics,41,3.98,0.699
2001,Philadelphia Phillies,44,4.44,0.699
2001,Pittsburgh Pirates,49,5.3,0.687
2001,San Diego Padres,48,5.01,0.686
2001,Seattle Mariners,35,3.87,0.727
2001,San Francisco Giants,41,4.62,0.692
2001,St. Louis Cardinals,39,4.22,0.703
2001,Tampa Bay Devil Rays,46,5.48,0.683
2001,Texas Rangers,51,5.98,0.673
2001,Toronto Blue Jays,40,4.65,0.68
2001,League Average,40,4.78,0.691
2000,Los Angeles Angels,45,5.36,0.699
2000,Arizona Diamondbacks,41,4.65,0.687
2000,Atlanta Braves,46,4.41,0.692
2000,Baltimore Orioles,48,5.64,0.684
2000,Boston Red Sox,50,4.6,0.696
2000,Chicago Cubs,50,5.58,0.693
2000,Chicago White Sox,41,5.18,0.685
2000,Cincinnati Reds,45,4.69,0.702
2000,Cleveland Indians,55,5.04,0.678
2000,Colorado Rockies,49,5.54,0.684
2000,Detroit Tigers,44,5.1,0.679
2000,Florida Marlins,39,4.95,0.684
2000,Houston Astros,45,5.83,0.678
2000,Kansas City Royals,44,5.74,0.689
2000,Los Angeles Dodgers,45,4.5,0.696
2000,Milwaukee Brewers,46,5.07,0.693
2000,Minnesota Twins,41,5.43,0.671
2000,Montreal Expos,49,5.57,0.672
2000,New York Mets,47,4.56,0.696
2000,New York Yankees,46,5.06,0.693
2000,Oakland Athletics,43,5.05,0.68
2000,Philadelphia Phillies,51,5.12,0.693
2000,Pittsburgh Pirates,46,5.48,0.673
2000,San Diego Padres,55,5.03,0.696
2000,Seattle Mariners,37,4.81,0.698
2000,San Francisco Giants,36,4.61,0.689
2000,St. Louis Cardinals,46,4.76,0.699
2000,Tampa Bay Devil Rays,49,5.23,0.684
2000,Texas Rangers,41,6.01,0.667
2000,Toronto Blue Jays,45,5.6,0.676
2000,League Average,41,5.14,0.687
